,index,0
10,0.5636774802563608,alcohol
9,0.1791758737765793,sulphates
4,0.058351276343160285,chlorides
7,0.05314003264202723,density
6,0.04355829831372421,total sulfur dioxide
5,0.041001669677613505,free sulfur dioxide
1,0.03722456838813112,volatile acidity
8,0.01447785243636894,pH
3,0.009392948166034554,residual sugar
0,0.0,fixed acidity
2,0.0,citric acid
